x,y
0.000000,0.000000
0.050271,0.000016
0.100541,0.000063
0.150811,0.000142
0.201082,0.000253
0.251352,0.000395
0.301622,0.000569
0.351892,0.000774
0.402162,0.001011
0.452432,0.001279
0.502702,0.001579
0.552971,0.001911
0.603240,0.002274
0.653509,0.002669
0.703778,0.003096
0.754046,0.003554
0.804315,0.004043
0.854582,0.004565
0.904850,0.005117
0.955117,0.005702
1.005384,0.006318
1.055650,0.006965
1.105916,0.007644
1.156181,0.008355
1.206446,0.009097
1.256711,0.009871
1.306975,0.010677
1.357239,0.011514
1.407502,0.012383
1.457764,0.013283
1.508026,0.014215
1.558287,0.015178
1.608548,0.016173
1.658808,0.017200
1.709067,0.018258
1.759326,0.019348
1.809584,0.020469
1.859841,0.021622
1.910098,0.022806
1.960354,0.024022
2.010609,0.025270
2.060863,0.026549
2.111116,0.027860
2.161369,0.029202
2.211621,0.030576
2.261871,0.031982
2.312121,0.033419
2.362370,0.034888
2.412619,0.036388
2.462866,0.037920
2.513112,0.039483
2.563357,0.041078
2.613601,0.042705
2.663844,0.044363
2.714087,0.046052
2.764328,0.047774
2.814568,0.049527
2.864806,0.051311
2.915044,0.053127
2.965281,0.054974
3.015516,0.056854
3.065750,0.058764
3.115983,0.060706
3.166215,0.062680
3.216445,0.064686
3.266675,0.066723
3.316903,0.068791
3.367129,0.070891
3.417354,0.073023
3.467578,0.075186
3.517801,0.077381
3.568022,0.079607
3.618242,0.081865
3.668460,0.084154
3.718677,0.086475
3.768893,0.088828
3.819107,0.091212
3.869319,0.093627
3.919530,0.096075
3.969739,0.098553
4.019947,0.101064
4.070153,0.103606
4.120358,0.106179
4.170561,0.108784
4.220762,0.111420
4.270962,0.114088
4.321160,0.116788
4.371356,0.119519
4.421551,0.122282
4.471743,0.125076
4.521934,0.127902
4.572124,0.130759
4.622311,0.133648
4.672497,0.136568
4.722681,0.139520
4.772862,0.142503
4.823042,0.145518
4.873221,0.148565
4.923397,0.151643
4.973571,0.154752
5.023743,0.157893
5.073914,0.161066
5.124082,0.164270
5.174248,0.167506
5.224412,0.170773
5.274575,0.174071
5.324735,0.177402
5.374893,0.180763
5.425048,0.184157
5.475202,0.187581
5.525354,0.191038
5.575503,0.194525
5.625650,0.198045
5.675795,0.201596
5.725938,0.205178
5.776078,0.208792
5.826217,0.212437
5.876352,0.216114
5.926486,0.219822
5.976617,0.223562
6.026746,0.227333
6.076872,0.231136
6.126997,0.234971
6.177118,0.238836
6.227237,0.242734
6.277354,0.246663
6.327468,0.250623
6.377580,0.254615
6.427689,0.258638
6.477796,0.262693
6.527900,0.266779
6.578002,0.270897
6.628101,0.275046
6.678197,0.279227
6.728291,0.283439
6.778382,0.287683
6.828470,0.291958
6.878556,0.296264
6.928639,0.300603
6.978719,0.304972
7.028797,0.309373
7.078872,0.313806
7.128943,0.318270
7.179013,0.322765
7.229079,0.327292
7.279142,0.331850
7.329203,0.336440
7.379260,0.341061
7.429315,0.345714
7.479367,0.350398
7.529416,0.355114
7.579462,0.359861
7.629505,0.364639
7.679544,0.369449
7.729581,0.374291
7.779615,0.379164
7.829646,0.384068
7.879673,0.389004
7.929698,0.393971
7.979719,0.398969
8.029737,0.403999
8.079753,0.409061
8.129764,0.414154
8.179773,0.419278
8.229778,0.424434
8.279781,0.429621
8.329780,0.434839
8.379775,0.440089
8.429767,0.445371
8.479756,0.450684
8.529742,0.456028
8.579724,0.461404
8.629703,0.466811
8.679679,0.472249
8.729651,0.477719
8.779619,0.483220
8.829584,0.488753
8.879546,0.494317
8.929504,0.499912
8.979459,0.505539
9.029410,0.511197
9.079357,0.516887
9.129301,0.522608
9.179242,0.528360
9.229178,0.534144
9.279111,0.539959
9.329041,0.545806
9.378966,0.551684
9.428888,0.557593
9.478807,0.563533
9.528721,0.569505
9.578632,0.575509
9.628539,0.581543
9.678442,0.587610
9.728341,0.593707
9.778237,0.599836
9.828129,0.605996
9.878016,0.612187
9.927900,0.618410
9.977780,0.624664
10.027656,0.630950
10.077528,0.637267
10.127396,0.643615
10.177260,0.649995
10.227120,0.656405
10.276976,0.662848
10.326828,0.669321
10.376676,0.675826
10.426520,0.682362
10.476360,0.688930
10.526195,0.695528
10.576027,0.702159
10.625854,0.708820
10.675677,0.715513
10.725496,0.722237
10.775310,0.728992
10.825120,0.735779
10.874926,0.742597
10.924728,0.749446
10.974526,0.756327
11.024319,0.763238
11.074107,0.770181
11.123892,0.777156
11.173672,0.784162
11.223447,0.791199
11.273218,0.798267
11.322985,0.805366
11.372747,0.812497
11.422505,0.819659
11.472258,0.826852
11.522007,0.834077
11.571751,0.841333
11.621490,0.848620
11.671225,0.855938
11.720956,0.863288
11.770681,0.870669
11.820403,0.878081
11.870119,0.885524
11.919831,0.892999
11.969538,0.900505
12.019240,0.908042
12.068937,0.915610
12.118630,0.923209
12.168318,0.930840
12.218001,0.938502
12.267680,0.946195
12.317353,0.953920
12.367022,0.961675
12.416686,0.969462
12.466345,0.977280
12.515998,0.985129
12.565647,0.993010
12.615292,1.000921
12.664931,1.008864
12.714565,1.016838
12.764194,1.024843
12.813818,1.032880
12.863437,1.040947
12.913050,1.049046
12.962659,1.057176
13.012263,1.065337
13.061861,1.073529
13.111455,1.081753
13.161043,1.090007
13.210626,1.098293
13.260204,1.106610
13.309776,1.114958
13.359343,1.123337
13.408905,1.131747
13.458462,1.140189
13.508013,1.148662
13.557559,1.157165
13.607100,1.165700
13.656635,1.174266
13.706165,1.182863
13.755690,1.191492
13.805209,1.200151
13.854723,1.208841
13.904231,1.217563
13.953733,1.226316
14.003231,1.235100
14.052722,1.243915
14.102208,1.252761
14.151689,1.261638
14.201164,1.270546
14.250633,1.279485
14.300097,1.288456
14.349555,1.297457
14.399007,1.306490
14.448454,1.315553
14.497895,1.324648
14.547330,1.333774
14.596760,1.342930
14.646183,1.352118
14.695601,1.361337
14.745013,1.370587
14.794420,1.379868
14.843820,1.389180
14.893215,1.398523
14.942604,1.407897
14.991987,1.417303
15.041364,1.426739
15.090735,1.436206
15.140100,1.445704
15.189459,1.455233
15.238812,1.464794
15.288159,1.474385
15.337500,1.484007
15.386835,1.493661
15.436164,1.503345
15.485486,1.513060
15.534803,1.522807
15.584114,1.532584
15.633418,1.542392
