step,x,y,v,delta,cross_err
0,0.000000,0.500000,4.6500,-0.100000,0.500000
1,0.232500,0.500000,4.8000,-0.200000,0.499667
2,0.472491,0.497926,4.9500,-0.300000,0.496518
3,0.719903,0.491329,5.1000,-0.337685,0.488066
4,0.974517,0.477308,5.2500,-0.246844,0.471348
5,1.235997,0.454191,5.4000,-0.169247,0.444595
6,1.504285,0.423833,5.5500,-0.094193,0.409615
7,1.779452,0.387925,5.7000,-0.016467,0.368050
8,2.061685,0.348304,5.8500,0.041810,0.321624
9,2.351273,0.307136,6.0000,0.096179,0.272459
10,2.648475,0.266260,6.1500,0.136804,0.222289
11,2.953539,0.227630,6.3000,0.164601,0.172973
12,3.266626,0.192961,6.4500,0.180937,0.126134
13,3.587794,0.163686,6.6000,0.187397,0.083106
14,3.917008,0.140917,6.7500,0.186878,0.044912
15,4.254153,0.125439,6.9000,0.178639,0.012237
16,4.599067,0.117767,7.0500,0.164464,-0.014504
17,4.951567,0.118060,7.2000,0.147420,-0.035246
18,5.311476,0.126159,7.3500,0.128904,-0.050241
19,5.678647,0.141699,7.5000,0.110137,-0.059947
20,6.052974,0.164164,7.6500,0.092122,-0.064973
21,6.434390,0.192939,7.8000,0.075519,-0.066025
22,6.822868,0.227366,7.9500,0.061071,-0.063874
23,7.218409,0.266780,8.1000,0.049166,-0.059295
24,7.621035,0.310564,8.2500,0.039825,-0.053017
25,8.030777,0.358184,8.4000,0.032880,-0.045687
26,8.447666,0.409208,8.5500,0.028436,-0.037851
27,8.871728,0.463315,8.7000,0.025838,-0.029939
28,9.302978,0.520313,8.8500,0.024054,-0.022288
29,9.741418,0.580120,9.0000,0.024690,-0.015080
30,10.187045,0.642699,9.1500,0.025038,-0.008484
31,10.639834,0.708184,9.3000,0.025758,-0.002491
32,11.099759,0.776695,9.4500,0.027546,0.002907
33,11.566789,0.848385,9.6000,0.029020,0.007697
34,12.040876,0.923499,9.7500,0.029132,0.012024
35,12.521970,1.002270,9.9000,0.030435,0.015993
36,13.010037,1.084822,10.0500,0.031293,0.019588
37,13.505025,1.171390,10.2000,0.031810,0.022906
38,14.006879,1.262174,10.3500,0.032082,0.026015
39,14.515551,1.357353,10.5000,0.032189,0.028956
40,15.030992,1.457083,10.6500,0.034736,0.031755
41,15.553152,1.561510,10.8000,0.034452,0.034411
42,16.081928,1.671034,10.9500,0.032755,0.037160
43,16.617271,1.785772,11.1000,0.033238,0.040013
44,17.159162,1.905685,11.2500,0.033309,0.042766
45,17.707532,2.030969,11.4000,0.033185,0.045468
46,18.262320,2.161778,11.5500,0.034455,0.048137
47,18.823464,2.298244,11.7000,0.034683,0.050728
48,19.390862,2.440669,11.8500,0.034472,0.053424
49,19.964433,2.589237,12.0000,0.034117,0.056246
